"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC 1","4","setRequest1","All Test Suite","Mon Jul 29 10:57:10 IST 2024","passed","Mon Jul 29 10:57:10 IST 2024","com.thetestingaccademy.testng.Lab263","ATB6xRestAssuredLearning","com.thetestingaccademy.testng.Lab263","setRequest1"
"TC for checking ping status","2124","getRequestPing","All Test Suite","Mon Jul 29 10:57:05 IST 2024","passed","Mon Jul 29 10:57:08 IST 2024","com.thetestingaccademy.testng.Lab262","ATB6xRestAssuredLearning","com.thetestingaccademy.testng.Lab262","getRequestPing"
"TC for checking booking status","9394","getRequest","All Test Suite","Mon Jul 29 10:56:56 IST 2024","passed","Mon Jul 29 10:57:05 IST 2024","com.thetestingaccademy.testng.Lab262","ATB6xRestAssuredLearning","com.thetestingaccademy.testng.Lab262","getRequest"
"Arithmetics or Mathematics","18","calcu","All Test Suite","Mon Jul 29 10:57:12 IST 2024","passed","Mon Jul 29 10:57:12 IST 2024","com.thetestingaccademy.testing.supermath","ATB6xRestAssuredLearning","com.thetestingaccademy.testing.supermath","calcu"
"","7","demo5","All Test Suite","Mon Jul 29 10:57:12 IST 2024","passed","Mon Jul 29 10:57:12 IST 2024","com.thetestingaccademy.testing.L264","ATB6xRestAssuredLearning","com.thetestingaccademy.testing.L264","demo5"
"TC 3","6","setRequest3","All Test Suite","Mon Jul 29 10:57:10 IST 2024","passed","Mon Jul 29 10:57:10 IST 2024","com.thetestingaccademy.testng.Lab263","ATB6xRestAssuredLearning","com.thetestingaccademy.testng.Lab263","setRequest3"
"TC# Hard Assert Example","6","hardAssert","All Test Suite","Mon Jul 29 10:57:12 IST 2024","failed","Mon Jul 29 10:57:12 IST 2024","com.thetestingaccademy.ex_ra01.L266","ATB6xRestAssuredLearning","com.thetestingaccademy.ex_ra01.L266","hardAssert"
"Checking for booking module","2125","bookingModule","All Test Suite","Mon Jul 29 10:57:08 IST 2024","passed","Mon Jul 29 10:57:10 IST 2024","com.thetestingaccademy.ex_ra01.Lab261","ATB6xRestAssuredLearning","com.thetestingaccademy.ex_ra01.Lab261","bookingModule"
"Math Calculation","5","calculation","All Test Suite","Mon Jul 29 10:57:12 IST 2024","passed","Mon Jul 29 10:57:12 IST 2024","com.thetestingaccademy.testng.TestTrial","ATB6xRestAssuredLearning","com.thetestingaccademy.testng.TestTrial","calculation"
"TC 2","9","setRequest2","All Test Suite","Mon Jul 29 10:57:10 IST 2024","passed","Mon Jul 29 10:57:10 IST 2024","com.thetestingaccademy.testng.Lab263","ATB6xRestAssuredLearning","com.thetestingaccademy.testng.Lab263","setRequest2"
"Checking for ping module","1737","pingModule","All Test Suite","Mon Jul 29 10:57:10 IST 2024","passed","Mon Jul 29 10:57:12 IST 2024","com.thetestingaccademy.ex_ra01.Lab260","ATB6xRestAssuredLearning","com.thetestingaccademy.ex_ra01.Lab260","pingModule"
"TC# Soft Assert Example","37","softAssert","All Test Suite","Mon Jul 29 10:57:12 IST 2024","failed","Mon Jul 29 10:57:12 IST 2024","com.thetestingaccademy.testng.L265","ATB6xRestAssuredLearning","com.thetestingaccademy.testng.L265","softAssert"
